       R        K
    0.06366197723675810771     0.05756230083412314236
    0.06453465328228459585     0.05713218670213948691
    0.06540732932781107012     0.05688635017278305395
    0.06628000537333755826     0.05662680495244495904
    0.06715268141886404640     0.05636664946718600994
    0.06802535746439052067     0.05609485296086690748
    0.06889803350991700881     0.05583573888489815756
    0.06977070955544349695     0.05558915869414835648
    0.07064338560096997122     0.05532666533920800600
    0.07151606164649645936     0.05508574963315239492
    0.07238873769202294750     0.05483153455955776939
    0.07326141373754943564     0.05458648615694596667
    0.07413408978307590991     0.05434098833955657015
    0.07500676582860239805     0.05410666398137519567
    0.07587944187412888619     0.05386222459924382838
    0.07675211791965536046     0.05362332932916826639
    0.07762479396518184860     0.05338684961663246742
    0.07849747001070833674     0.05315357912219764031
    0.07937014605623482488     0.05292616152204227681
    0.08024282210176129915     0.05268557786004546273
    0.08111549814728778729     0.05247098519921019472
    0.08198817419281426155     0.05224347234998132083
    0.08286085023834074970     0.05202167014684135060
    0.08373352628386723784     0.05180507980538284762
    0.08460620232939372598     0.05158841046694033483
    0.08547887837492020024     0.05136657333202054865
    0.08635155442044668839     0.05114883641237304157
    0.08722423046597316265     0.05093867871970166050
    0.08809690651149965079     0.05072951116230015739
    0.08896958255702613894     0.05051649860944087272
    0.08984225860255262708     0.05030830236536093514
    0.09071493464807911522     0.05011776991573744372
    0.09158761069360558948     0.04991138767879489679
    0.09246028673913206375     0.04970940642064247683
    0.09333296278465855189     0.04951639301535316201
    0.09420563883018504003     0.04931580747481836835
    0.09507831487571152818     0.04911277565270326384
    0.09595099092123801632     0.04893791763354252838
    0.09682366696676450446     0.04874768109212673783
    0.09769634301229097872     0.04854870164351345746
    0.09856901905781745299     0.04837755026004095238
    0.09944169510334394113     0.04819143613599721765
    0.10031437114887042927     0.04800712121601247162
    0.10118704719439691742     0.04782863611100966750
    0.10205972323992340556     0.04764197257610384983
    0.10293239928544987982     0.04732907627211202506
    0.10380507533097635409     0.04719033447633763645
    0.10467775137650284223     0.04713037316063499460
    0.10555042742202933037     0.04694681739340637872
    0.10642310346755581851     0.04679394912931859885
    0.10729577951308230666     0.04662671304323443011
    0.10816845555860878092     0.04644156957570791389
    0.10904113160413526906     0.04626562449655729353
    0.10991380764966174333     0.04613384550050896038
    0.11078648369518823147     0.04600753063283564287
    0.11165915974071471961     0.04581715260907916892
    0.11253183578624120775     0.04565034091941382738
    0.11340451183176769590     0.04550930903287929430
    0.11427718787729417016     0.04539776560253837301
    0.11514986392282064442     0.04523458019635130667
    0.11602253996834713257     0.04505841689914621279
    0.11689521601387362071     0.04491018252861032900
    0.11776789205940010885     0.04478503118724708881
    0.11864056810492659699     0.04466535876375490877
    0.11951324415045307126     0.04452015503647315658
    0.12038592019597954552     0.04436583925530432349
    0.12125859624150603366     0.04421216501953083300
    0.12213127228703252181     0.04409962040237817849
    0.12300394833255900995     0.04397844550189316387
    0.12387662437808549809     0.04382867754148809386
    0.12474930042361197235     0.04370826317409075290
    0.12562197646913844662     0.04359910951629829973
    0.12649465251466496252     0.04346937674336695534
    0.12736732856019142290     0.04334570331437546248
    0.12824000460571791105     0.04323361385611303176
    0.12911268065124437143     0.04311918148871676792
    0.12998535669677088733     0.04300869366793352161
    0.13085803274229734772     0.04291972151396709206
    0.13173070878782383586     0.04282192136519326342
    0.13260338483335032400     0.04270022957025049193
    0.13347606087887681214     0.04259260265537324897
    0.13434873692440330029     0.04249885494666816310
    0.13522141296992978843     0.04239832140600757054
    0.13609408901545627657     0.04230549599935588823
    0.13696676506098276471     0.04225888872552055475
    0.13783944110650922510     0.04219449752534995546
    0.13871211715203571324     0.04206451140575774572
    0.13958479319756220138     0.04196441919056887598
    0.14045746924308868953     0.04192212314787584909
    0.14133014528861517767     0.04185512479233761962
